Id,SalePrice
1461,120923.420775
1462,160435.024903
1463,181982.206597
1464,195350.286549
1465,191478.08912
1466,171953.528236
1467,175207.999161
1468,165505.453019
1469,188150.362782
1470,125759.065752
1471,188478.446926
1472,96315.2012434
1473,97198.5317452
1474,146954.679834
1475,112397.098769
1476,371148.630264
1477,255757.185096
1478,287200.680675
1479,289888.392234
1480,491642.715037
1481,345404.658512
1482,214995.852126
1483,177073.112276
1484,161966.431963
1485,185049.660097
1486,195450.8266
1487,343029.2426
1488,234366.735355
1489,194927.820974
1490,237021.090157
1491,190438.228768
1492,93051.7973502
1493,175485.871894
1494,290181.068339
1495,290037.653772
1496,228571.456045
1497,179418.679866
1498,163110.212471
1499,159243.596645
1500,155854.587877
1501,176263.192771
1502,145798.355807
1503,280968.912882
1504,243684.662428
1505,230579.897804
1506,192124.524165
1507,245401.007561
1508,195182.09405
1509,164787.070129
1510,144901.419774
1511,150507.54683
1512,173337.490736
1513,138273.058654
1514,147244.909684
1515,193388.66515
1516,149731.126649
1517,163947.132959
1518,132865.822256
1519,214934.168732
1520,133483.950175
1521,133404.211891
1522,174893.267709
1523,112291.431013
1524,126337.515152
1525,121126.6842
1526,109667.409887
1527,106447.273945
1528,140371.377586
1529,152282.231451
1530,180781.826572
1531,107302.855369
1532,95379.9140767
1533,148280.792403
1534,124158.874662
1535,155202.669483
1536,107427.098774
1537,61670.9731191
1538,151391.140217
1539,194640.96167
1540,91202.4775628
1541,143379.359926
1542,139787.92069
1543,197674.872012
1544,83971.4531232
1545,109675.885288
1546,127948.167781
1547,129302.00355
1548,135010.116333
1549,120064.834167
1550,131071.004296
1551,109107.375731
1552,137761.822972
1553,150916.090884
1554,117815.255785
1555,169164.796779
1556,84934.5540825
1557,101139.692131
1558,96276.3181609
1559,76957.8511911
1560,129668.495156
1561,121108.781185
1562,126777.772423
1563,118410.925967
1564,160212.153447
1565,143520.451997
1566,246424.075958
1567,74694.7205831
1568,240347.623801
1569,131673.052624
1570,142556.286194
1571,123190.40368
1572,145745.097622
1573,251530.320123
1574,118663.763027
1575,228452.020067
1576,233130.664986
1577,182165.49031
1578,138174.276589
1579,149968.871417
1580,195294.001808
1581,154206.781002
1582,124389.881003
1583,300000.517482
1584,219398.529872
1585,139066.848763
1586,66237.5727615
1587,101611.711786
1588,157308.755663
1589,93136.9591313
1590,136041.44002
1591,97163.0694862
1592,116001.524692
1593,118355.657953
1594,120995.264022
1595,106862.903215
1596,229435.75146
1597,194365.119583
1598,219943.018396
1599,165827.926234
1600,159424.405097
1601,62059.7501047
1602,108374.450305
1603,79743.4809919
1604,270335.127807
1605,238245.127851
1606,170339.153165
1607,171964.981074
1608,214309.524955
1609,183895.535415
1610,156822.119687
1611,139429.557227
1612,168348.869321
1613,163972.634058
1614,124687.357212
1615,93789.4191413
1616,80085.8689176
1617,91596.9026911
1618,125746.389477
1619,140230.032756
1620,153332.478451
1621,140640.028026
1622,139941.696946
1623,267050.538342
1624,212696.900067
1625,115338.168027
1626,163929.941444
1627,191786.754559
1628,271567.250087
1629,179917.320495
1630,355369.780568
1631,229809.830971
1632,245508.06415
1633,171362.186663
1634,187768.770921
1635,175421.565103
1636,150784.628114
1637,194664.259646
1638,184371.757606
1639,179730.819634
1640,259777.546246
1641,180589.145268
1642,240339.545694
1643,222263.357182
1644,235901.986082
1645,202110.961854
1646,159169.431726
1647,155680.360893
1648,129566.015362
1649,142997.070594
